"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
1671.2305;"[0,4,4,0,4,1,]-[0]";"[4,4,0,4,1]";0;4;4;0;4;0;0;1;8;1
1751.18731;"[0,4,4,0,5,1,]-[0]";"[4,4,0,5,1]";0;4;4;0;5;0;0;1;8;1
1831.14412;"[0,4,4,0,6,1,]-[0]";"[4,4,0,6,1]";0;4;4;0;6;0;0;1;8;1
1911.10093;"[0,4,4,0,7,1,]-[0]";"[4,4,0,7,1]";0;4;4;0;7;0;0;1;8;1
1991.05774;"[0,4,4,0,8,1,]-[0]";"[4,4,0,8,1]";0;4;4;0;8;0;0;1;8;1
2071.01455;"[0,4,4,0,9,1,]-[0]";"[4,4,0,9,1]";0;4;4;0;9;0;0;1;8;1
2150.97136;"[0,4,4,0,10,1,]-[0]";"[4,4,0,10,1]";0;4;4;0;10;0;0;1;8;1
2230.92817;"[0,4,4,0,11,1,]-[0]";"[4,4,0,11,1]";0;4;4;0;11;0;0;1;8;1
2310.88498;"[0,4,4,0,12,1,]-[0]";"[4,4,0,12,1]";0;4;4;0;12;0;0;1;8;1
2390.84179;"[0,4,4,0,13,1,]-[0]";"[4,4,0,13,1]";0;4;4;0;13;0;0;1;8;1
1633.28425;"[0,4,4,1,3,1,]-[0]";"[4,4,1,3,1]";0;4;4;1;3;0;0;1;8;1
1713.24106;"[0,4,4,1,4,1,]-[0]";"[4,4,1,4,1]";0;4;4;1;4;0;0;1;8;1
1793.19787;"[0,4,4,1,5,1,]-[0]";"[4,4,1,5,1]";0;4;4;1;5;0;0;1;8;1
1873.15468;"[0,4,4,1,6,1,]-[0]";"[4,4,1,6,1]";0;4;4;1;6;0;0;1;8;1
1953.11149;"[0,4,4,1,7,1,]-[0]";"[4,4,1,7,1]";0;4;4;1;7;0;0;1;8;1
2033.0683;"[0,4,4,1,8,1,]-[0]";"[4,4,1,8,1]";0;4;4;1;8;0;0;1;8;1
2113.02511;"[0,4,4,1,9,1,]-[0]";"[4,4,1,9,1]";0;4;4;1;9;0;0;1;8;1
2192.98192;"[0,4,4,1,10,1,]-[0]";"[4,4,1,10,1]";0;4;4;1;10;0;0;1;8;1
2272.93873;"[0,4,4,1,11,1,]-[0]";"[4,4,1,11,1]";0;4;4;1;11;0;0;1;8;1
2352.89554;"[0,4,4,1,12,1,]-[0]";"[4,4,1,12,1]";0;4;4;1;12;0;0;1;8;1
1675.29481;"[0,4,4,2,3,1,]-[0]";"[4,4,2,3,1]";0;4;4;2;3;0;0;1;8;1
1755.25162;"[0,4,4,2,4,1,]-[0]";"[4,4,2,4,1]";0;4;4;2;4;0;0;1;8;1
